run_id,timestamp,target_app,endpoint,method,tool,attack_type,owasp_category,payload,status_code,response_time_ms,evidence,severity,confirmed,fingerprint,matched_cve
3c7e013b,2026-08-19T14:52:01.477815+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,,"{""query"": ""query { systemUpdate(version: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": null}",400,9.7,"HTTP 400; GraphQL errors=['Unknown argument ""version"" on field ""systemUpdate"" of type ""Query"".']",info,False,2fa810210245e7d0,
c3f6b9af,2026-08-19T14:54:22.930114+00:00,vampi,/users/v1,GET,schemathesis,SQL_INJECTION,,"""1' OR '1'='1""",200,13.0,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3eadc831a5b5d1e8,
38d48133,2026-08-19T14:54:30.317386+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,,"{""query"": ""query { systemUpdate(version: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": null}",400,7.2,"HTTP 400; GraphQL errors=['Unknown argument ""version"" on field ""systemUpdate"" of type ""Query"".']",info,False,2fa810210245e7d0,
mock_run_1,2026-08-19T22:00:00+00:00,vampi,/users/v1,GET,schemathesis,SQL_INJECTION,API8:2023,1 OR 1=1,500,120.5,Database Syntax Error,critical,True,fingerprint_1,CVE-2024-1111
mock_run_2,2026-08-19T22:01:00+00:00,dvga,/graphql,POST,graphql,BOLA,API1:2023,admin_id,200,45.2,Leaked admin data,high,True,fingerprint_2,CVE-2024-2222
e38d07ca,2026-08-19T15:00:07.181840+00:00,vampi,/users/v1,GET,schemathesis,SQL_INJECTION,,"""1' OR '1'='1""",200,41.4,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3eadc831a5b5d1e8,
a59a7c78,2026-08-21T16:11:13.419672+00:00,vampi,/users/v1,GET,schemathesis,SQL_INJECTION,,"""1' OR '1'='1""",200,12.4,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3eadc831a5b5d1e8,
32aea500,2026-08-21T16:12:42.697196+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,,"{""query"": ""query { systemUpdate(version: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": null}",400,8.9,"HTTP 400; GraphQL errors=['Unknown argument ""version"" on field ""systemUpdate"" of type ""Query"".']",info,False,2fa810210245e7d0,
41977516,2026-08-21T16:25:53.260833+00:00,crapi,/community/api/v2/community/posts/{postId},GET,schemathesis,SQL_INJECTION,API8:2023 Security Misconfiguration,"""' OR '1'='1""",400,75.1,HTTP 400; khong phat hien dau hieu bat thuong,info,False,502a1b4dc4b35227,
41977516,2026-08-21T16:25:53.253107+00:00,crapi,/community/api/v2/community/posts,POST,schemathesis,XSS,API8:2023 Security Misconfiguration,"""<script>alert('CRAPI_XSS_TEST')</script>""",200,62.6,"HTTP 200; leaked signal: ['crapi_xss_test', 'alert(']",medium,True,e28f3aabe874f7a6,
